nama,ulasan
Laily harisa,"Nyaman, apalagi kalo malam minggu bisa bikin nenangin fikiran hihi"
Min Saodah,"Memasuki masa New Normal,, Aloon"" jombang mulai ramai di kunjungi warga kota yg ingin berolah raga pagi,,, jln kaki/ sekedar goes pelan""."
tiyang awam,"kalau kesini pas malan sangat lah ramai karena banyak penjual penjual seperti jagung bakar, kopi, penyetan, es degan dan lain lain. letaknya strategis karen di samping jalan utama bis jurusan jogja, tulungagung. di depannya ada masjid agung jombang"
Agung Devi Bahtiyar,"Tempat yang benar² alun², kenapa karena disini mulai anak kecil sampai dewasa bisa menikmati indahnya pusat kabupaten.
Mulai dari bermain anak², tempat nongkrong remaja keluarga mantaaap buat kalangan apapun"
Nn Sasaa,"Waktu kesini udah kesiangan jadi gak sempat masuk cuma mutar keliling Alun Alun aja
semakin siang semakin ramai
Alun alunnya bersih 👍👍 …"
Mastiah siti,".Kalo main ke Jombang gak lupa selalu mampir ke Alun² tempatnya Bersih,Nyaman paling seru kasih makan burung merpati..."
Ivy Barnes,"Tempatnya bersih, nyaman buat santai sama keluarga"
Arif Propolis,"Tempat kenangan masa kecil istri, sampai skrg masih tertata rapi"
Mochamad Suwandi,"Malam minggu ramai..banyak mainan buat anak kecil
Depan masjid Jamik jombang
Dekat Stasiun Jombang"
rahmat wijaya,Tempat cocokan untuk anak2 banyak permainan gratis thanks pemkot jombang
Hayu Annisa,"Parkir disini gratis . Sejuk. Nyaman. Banyak pedagang kaki lima juga, jadi gak usah bingung kalau haus atau laper. Alangkah baiknya jika monument semacam tulisan alun alun jombang dibuat lebih, supaya memudahkan para pendatang untuk berfoto."
Nurjati Solikhin,Alun² dekat stasiun Jombang..afa playground yang sangat bagus....
Novi Hastuti,Sebagai orang Jombang....bersyukur punya alun-alun bersih bebas PKL. Jadi resik disawang.
Budi Siswanto,Tempatnya indah nyaman untuk nyantai Bersama Keluarga 👍🙏 …
angga praditya,"Alun-alun Jombanng bagus, ada playground yang besar buat main anak-anak. Dekat dengan stasiun kereta, dan masjid agung."
fera myshopaholic,"Sekarang makin bagus dan bersih
Dan sedang di renov dengan oenambahan wahana bermain outbond untuk anak dengan rmput sintetis sebagai alasnya. …"
Ade Luqs,"Mantap lah tempatnya,  moga makin di perbaiki aja dan di percantik, dan kasih keamanan buat ngusir orang² yang pacaran yang melewati batas (mesum)"
Dwi Yulia,Tempat yang nyaman untuk menghabiskan sore bersama keluarga. Ada playground yang ramah bagi anak.
yua yu,"Makin bagus, nyaman, ada Playground nya, aman buat bocil"
Handy Dwi Septa Arnanto,"Bersih, Rekomendasi Buat Yang Punya Anak Kecil, Bawa Makanan/Cemilan Sendiri"
Wakhid Nur,"Tempat luas, banyak pedagang, ada playground"
Muhammad Abdillah,Alon2 jombang nyaman buat liburan dekat dengan Masjid agung yg sejuk buat ampiran.
Ma'isyatul Mufida,"Bagus, bersih, luas, parkiran juga luas. Untuk toilet kurang tau ya tpi mungkim bisa di masjid sampingnya itu."
AR arfianti,"Tempat yang indah, teduh, dan ramai di malam hari,banyak tempat buat santai ,makanan favorite di situ batagor pojok @u@ yummiyyyy"
Cicih KD,"Tempat bermain anak yg murah, bisa main sepuasnya. Buat olah raga juga oke"
cak boy cuk,"cocok untuk bersantai, playground untuk anak"" juga bagus, cuma sayang, toiletnya sudah bayar tp kebersihannya kurang, lebih sering main HP dan terima uang penjaganya, baunya agak pesing dan kotor licin lantainya, untuk parkir sudah ok, …"
RFF,Tempat yang bagus dan cocok buat jogging ataupun menikmati pagi dan senja.
Palupi Retno,"Alun2 jd lebih bagus dab tertata,ga semrawut kyk dulu...dan yg penting udah ga banyak orang ngamen n ngemis.
Playground nya jg bagus,bikin anak2 seneng."
Fajar oktadeva prasetya,"Playground yang menyenangkan bagi anak-anak
Di akhir pekan, pagar baru dibuka jam 6.45, sehingga semua pengunjung harus lompat pagar. …"
Erfan Cahyono,"Wajib dikunjungi,buat keluarga, anak2 pasti senang. 😊 …"
M. Afif Nur Fahmi,"Tempat nyaman untuk bermain anak-anak.,.,
Paling cocok kesini sore hari stelah sholat ashar.,, karna sholat maghrib taman bermain ditutup sementara dn dibuka kembali setelahnya"
Aldino Wildan R,"Alun alun yang luas dan ramai, dekat dengan masjid agung, untuk masjid agung nya luas dan air berlimpah."
Daviano AL ArroN,"Keren sich tempatnya. .ada Playground untuk anak"" bermain yg lumayan cukup luas. .👍👍👍 …"
Kuat Priatin,Tempat luas dan nyaman untuk di kunjungi
mardiani puji,"Tempat paling bersejarah di jombang, banyak kenangan dan cerita di setiap momennya. Terletak di pusat perkotaan jombang."
muhammad haidar,"STMJ mbak Nur yang recomended untuk daerah Kebomas, Kabupaten Gresik Jawa Timur ini. Sudah turun menurun sejak tahun 2006. Sudah tidak di ragukan lagi untuk racikan yang mantab bagi kesehatan badan. Buka pukul 18.00 - 00.00 WIB beralamat di jl. Dr. Wahidin No. 207 Kebomas Gresik (Barat Masjid Agung)."
hermanto toink,Lumayan ramai...suasana tenang...banyak jajanan + sarana buat santai keluarga...(murmer) hanya kebersihan perlu ditingkatkan lagi...
subur santosa,"Alhamdulillah..sebelum puasa kemarin sempat mampir alun2 jombang..
Habis sholat dhuhur di masjid agung,beli jajanan lesehan di gazebo alun2..nyantai..sayang puanas cuacanya.. …"
Ditta Alfianto,Tempat public yg lumayan asri dan strategis. Sebelah selatan ada stasiun Jombang sebelah barat ada masjid agung. Kalau siang panas namun sudah banyak pohon peneduh dipinggir alun-alun lengkap dengan warung-warung. Akan tetapi bagi anda …
mugowasono,"Alun-alun kebanggaan warga kabupaten Jombang, tempat rekreasi keluarga, tempat olahraga, tempat refresing, kegiatan2 pemerintahan setempat dll"
Astrila Nur febriana,"seru banget,lagi nunggu kereta karna bosen kelamaan di dalem stasiun jadi gue kesini dan bener bener seru,cuman pas gue kesono taman yg buat main bocilnya tu ditutup pintunya jadi harus manjat gitu disaranin orang-orang next time bakal keasana lagi klk gue ke jombang lagi"
Arpan efendi,"Tempat olahraga, bermain dan berbagai aktifitas lainnya. Sangat ramah anak. Bersih dan rapi."
Rahman Arrijal (Ijal),"Alun-alun Jombang saat ini masih terus dalam tahap pembaruan. Lokasi di tengah kota, dekat masjid agung, stasiun, lembaga pendidikan formal dan gedung pemerintahan. Saat pagi ramai anak-anak sekolah yang berolahraga, siang cenderung sepi …"
Yn azizah,"cocok buat yang pengen jalan² santai sambil kulineran, ramah untuk semua kalangan 🌻 …"
Anwar Harianto,"Tempat yang nyaman dan indah, buat berkumpul bermain bersama keluarga"
Maziyatul Lailiyyah,"tempatnya enak nyaman, banyak jajanan, banyaknya tempat untuk menikmati jajanan yg biasanya disediakan penjual, namun sadikit mengganggu orang yg akan jalan"
Muhamad Bastian,"posisinya pas di depan stasiun jombang, lumayan buat nunggu kereta bisa main2 dulu di alun-alun ini."
Sos Edwin,Alun-alun Jombang 2023 sudah berbenah lebih ramah anak kecil dengan ada Playground yg bagus sekali. Semoga ditingkatkan lagi kedepannya
Weni Setyomukti,Taman kota yg cocok dikunjungi saat wiken bersama keluarga
Kurmaila Shari,"Dateng hari biasa,, sepi.. Tempatnya nyaman jg, cocok ajak main anak2"
Chan AD19,Bersih dan nyaman.. Cocok kalau mau ngajak main bocil
Poedji Noer Tjahjanto,"Sdh bagus tempatnya, tp koq sedikit ketersediaan tempat sampah nya ."
Irma Kumalasari,"Bagus ada playground besar ramah anak, salah satu alun2 yang oke dan bersih"
Faiz Alhaqqani,"udah steril dari pedagang makanan sehingga tampak bersih bagian dalamnya dan dapat dipakai untuk lari pagi, bersepeda, jalan pagi, atau sekedar duduk dibawah pohon bersama keluarga dan orang tercinta atau bagi mereka yang mau update status aja, mungkin bisa jadi salah satu destinasi bagus"
Yustin Firda,"Cocok untuk kegiatan umum, bersantai dll"
ERVINA RISMAWATI,Buat anak jombang gausah jauh2 healing ke luar kota. Cukup ke alun2 aja anginnya sepoi2 nonton burung dara. Buat yang punya baby juga ajak mampir kesini aja biar lari2 sambil main dan beli jajan
kang muri,"Ajak Keluarga nikmati suasana malam di alon alon Jombang sungguh menyenangkan.
Arena bermain untuk anak anak sangat bagus dan banyak macamnya. Lihat anak bermain gembira bikin hati bahagia. …"
ayu anni latifah,"Tempatnya luas, bersih, dan nyaman. Terletak di pusat kota Jombang."
ZI AL-GHAZALY,Seru main disini luar bersih. Tempat nyaman. Banyak orang berjualan.
Nilam Cahya,"Haiya...
Tempat paling dicari dan setidaknya akan mudah ditemukan. Rujukan ketika buntu akan ngumpul dimana, duduk dimana? …"
dedy wahyu kurniawan,Alun alun Jombang semakin baik dengan hadirnya taman bermain untuk anak serta kualitas rumput yang lumayan bagus. Bisa untuk bermain-main dengan keluarga.
Daun,"Ngopi pagi hari di alun2 jombang sembari nunggu anak lagi mainan prosotan, ternyata senyaman itu 😊 …"
Astuti Budi,Alun-alun Jombang sekarang ok banget. Ramah anak dan lebih tertata. Kalau weekend banyak yg jogging dan memberi makan burung.
Qur'Aini Meliana,"Tempat ini lumayan enak buat bersama keluarga, karena disini masih banyak orang yang berjualan makanan dan banyak orang yang menyediakan permainan untuk anak-anak"
Lailatus Saidah,"Tempatnya asik buat nongkrong sama keluarga. Banyak permainan anak anak,  dan banyak orang jual makanan"
Mayang Kamilah,Seruuuuu bnngeeett main main di alun alun apalagi ada es kesukaan akuuu😁😁😁😁😁❤❤❤❤❤❤❤❤❤❤ bisa gambar juga meskipun byk anak kecil wkwkwkwkkwwk cuma 10rb aja …
nathania,Tempat yang nyaman untuk piknik bareng keluarga di sore hari. Bisa bawa hewan peliharaan jugaa 🥰 …
Ma_ Tamu427,"Bagus, buat olah raga juga ok"
Windy R,"Tidak sengaja di perjalanan dari Gresik-Kediri dan lapar, lalu mampir di alun-alun Jombang. Dan baru tau kalo letaknya berhadapan dengan stasiun Jombang. Alun-alunnya rapi. Ada arena playground untuk anak-anak. Kalo malam temaram"
Ilza Rinandy Oktaviana,"Salah satu icon warga Jombang, meski hanya sekedar duduk - duduk menikmati sore sudah sangat menenangkan. Hanya saja jika pengunjung banyak pasti banyak pengamen yang berkeliling. …"
Destia Prasetyo,"Pertama kali ke alun2 Jombang dan sorry to say tapi ga banget oknumnya. Kebetulan ke sini bareng rombongan sekolah, yg mana ada rombongan sekolah2 lain juga. Akses playground ditutup dg alasan panas, padahal waktu datang ada rombongan …"
Ummu Hanik,Dalam rangka peringatan 7 hari KH. Maimoen Zubair di pendopo Jombang. Dihadiri oleh ulama dan Kyai sejombang serta Bupati Jombang. Acara diawali dengan pembacaan Yasin yang dipimpin oleh KH Haromain PP Mambaul Maarif Denanyar. Dilanjut …
Yuyun Kadhaffi,"Bbrp hal penting
1. Fasilitas : stasiun kreta, mesjid, kantor pmerintahan, sekolah, taman bermain, makanan kaki lima …"
Dwi Novitasari,"Alun alun sekarang udah bagus banget, ada playground, tempat parkir yang luas dan ada bulan2 tertentu sekitar september ketika bunga2 tabebuya mekar sangat indah sekali."
Irul Mataram,"Tambah bagus tempatnya,,ada tempat bermain anak-anak"
Salman Albir Rijal,"Salah satu alun-alun terbaik di Jawa Timur. Lokasinya sangat strategis karena berada langsung di depan Stasiun Jombang dan di pinggir jalan utama. Selain itu, alun-alun ini juga bersebelahan dengan masjid agung seperti alun-alun di tiap …"
Dadang Brastar Channel,"Alun alunnya indah asri enak buat rekreasi jalan jalan menenangkan hati dan pikiran
Ada macam macam permainan yg dapat dimainkan bisa bikin happy"
Ajeng Nafisah,"Sudah ada perubahan lebih bersih dan rapi enak di pandang ada taman bermain anak"" dan keluarga"
Raka Rich,"Nice.. bersih,. Ada playground juga,.. suasana adem kalo pagi hari,.. ada burung juga di area ini.."
Nendyo,"Cocok buat nyatai besama anak kecil, memberi makan burung, sekedar nongkrong atau makan lengkap dah"
Untung Bakti,"Bagus dekat masjid,dekat stasiun ada tempat bermain"
Film Dewasa,Alun alunya bagus sangat. Cocok untuk bermain anak² dan olahraga
Argo Puruhito,Setiap kesini selalu rame dikunjungi karena lokasi nya pas di sebelah alun2 Jombang
Supriyana Basuki,Tempat yang murah dan representatif untuk menghilangkan kepenatan bersama keluarga
Su Yono,"Tempat yang cocok buwat keluarga dan nyantai
Apa lagi ada permainan anak murah meriah"
Triska Nurmala,"Luas buangeeetttt, kesana pas habis hujan jadi seger banget ngeliat rumput² hijau, tempat duduknya juga banyak"
Diana Diana,"Semakin banyak fasilitas yang memanjakan masyarakat, baik kanak-kanak maupun dewasa."
Ahmad Wafi,"Sholat Maghrib disini usai dari pernikahan teman di Jombang. Setelah Maghrib ada pengajian rutin, waktu itu temannya tetang Ashabul Kahfi. MasyaAllah Barakallah luar biasa. Semoga semakin bermanfaat.."
hanna azkayra,"Kalo siang hari lampu area alun"" tolong dong dimatikan jangan pemborosan"
sigit,ruang terbuka yang memiliki banyak spot menarik berada di tengah kota
Nuning Kristinawati,"Suasana nya enk...tenang,sejuk..enk jg utk berolah raga..👍 …"
Dani Arianto,Salah satu tempat hiburan keluarga Jombang yg ramah di kantong.
pid vid,"Bagus, jauh2 gowesan dari mojokerto karena penasaran ama alun2 jombang ga rugi deh 🙂 bersih dan terawat pula ☺️ mantap …"
Arias Ramadhani,"Panas banget..mungkin perlu ditambah lagi untuk pepohonan rindangnya.
Untuk playground nya alangkah baiknya tidak perlu di gembok,krn mengingat ini adalah public area yaa.."
Ayutrava multifandom,"Lumayan bagus, cuman ya karena belum di buka aja taman bermainnya jadi kek kosong gitu. terus penjual jajanan juga sepi skrg ga kayak 2017"
Dzaki Ahnaf,"Ruang publik yg nyaman untuk masyarakat sekitar Jombang. Cocok untuk olahraga, rekreasi keluarga, hingga tempat istirahat menikmati sekitar"
insan sensei,"Alun"" yg cukup luas dan bnyak kulinernya
Di tambah dengan masjid jami' yg bersih dah nyaman
Kalu mau nunggu kereta atau stlh turun dari kereta pasti mampir dlu ke alun"""
Wahyu Agung,"Aku dari kecil sering maen kesini . Sama kebon rojo, tempatnya enak , gede dan banyak yang jualan makanan, mainan sama aksesoris.
Oiya, enak buat jalan"" kalo waktu ramadhan"
Arrohmanmail Roy,Makin keren. Terimakasih DLKH Jombang kerjanya oke
Umi Nadliroh,Tempat yang cocok untuk berlibur sama keluarga termasuk anak anak
Bambang Tjahyono,Tempat berkumpul bersama keluarga & handai taulan serta berolah raga
Gitta wahyu Cahyani,"Alun-alun jombang sekarang lebih bersih, terawat tertata rapi.. Kalau lagi mekar gini bunga tabebuya berasa di luar negeri.. Cantik difoto"
MirandaWike,"Bagus , nyaman buat momong anak kecil .
Hanya saja Banyak pengemis 😌 …"
GADIZ ZANAN NOW,"Gila sih parkirannya dibuat bisnis, kapan hari sepeda motor parkir 5000 pengemis dan pengamen juga gak henti henti banyak banget, risih dan terganggu banget, niat hati ingin menyegarkan pikiran dapatnya malah gangguan"
Errica Vannie,Kalau pagi sangat cocok untuk membawa anak bermain. Kalau malam juga cocok untuk duduk santai melepaa penat.
SA Teknik 2,"Tempatnya baguss banget... Tapi waktu panas gk enak, sedikit tempat untuk berteduh"
Nana Swandhana,"Alun alunnya sudah rapih, bersih dan ada tempat bermain anak, tetapi waktu itu ditutup ?"
Muiz el hakim,"Alhamdulillah, lumayan bisa buat istirahat... Sekitar jam 8 pagi di sini masih  cukup banyak orang berolahraga jogging di seputaran alun-alun ..  di sini sembari rehat sejenak, menikmati suasana dengan pesen & makan nasi pecel..
3 porsi 33 rb.."
Andree crew8 channel,Alun2 kota jombang sdh ada pembangunan dan perbaikan dmn2 ya emang masih tahap renovasi skitar 50-75 % jd pnasaran gmn ntr hasilnya pas udh 100%...meskipun blm 100% tp kini makin asik makin seru n view nya juga romantis apa lg dsore - menjelang malam hari... Yuk cekkk
AGUS SUSANTO,"Mantap ramai & byk yg jualan jd betah berlama², insyaallah pasti Dateng lg pas mudik ke kampung halaman Istri tiap tahun nya"
Yesilia Chu,"Tempat yang bagus untuk melepas lelah apalagi dimasa pandemi tidak semua tempat bisa dikunjungi karena PPKM. Alun2 jdi salah satu tempat dikunjungi di kala bosan dirumah, anak saya senang sekali bertemu anak seusianya😊😊 …"
Adhi Pranoto,"Setelah lama tidak pernah ke jombang. Kaget juga lihat pembangunannya.
Dulu ke alun-alun Jombang hanya sekedar cari jajanan, tetapi sekarang bisa untuk wahana permainan. Tempatnya bersih.
Dan kalau waktunya sholat playground nya tutup"
Fiina Maghfurin,"Berasa habis semedi puluhan tahun wakakakak
Yang ga pernah ke alun2, kesana sekali eeh tetiba udaah cantik ajaaa alun alunnya 🤣 …"
Nur Rochma,"Alun-alun ini berhadapan dengan masjid, stasiun. Di pinggir alun-alun ada banyak penjual makanan dan minuman. Tempatnya lesehan.

Ada tempat buat orang-orang yang merokok. Sayangnya ini kurang dimanfaatkan. Yang merokok dimana saja."
Lintang Kemukus,"mohon lebih ditertibkan lagi pedagangnya.kasih tempat khusus biar gak kepanasan,jd kl mau beli gak tolah toleh cari pedagangnya.kalau bisa,tempat duduknya kasih iyup2an ya..."
Ally Dias,"Tempatnya human family, cocok buat santai bersama keluarga"
Nyonya Suka Dolan,"Minggu pagi , ada senam bersama di alun-alun. Dan kerumunan orang berada di sekitar alun-alun sampai ke arah Ringin Contong. Sekedar jalan-jalan atau mencari sarapan.  Letak strategis , berada di depan stasiun, dekat dengan kantor pos, masjid dan area sekolah."
